Protein Accession,Transcript Accession
NP_001138101.1,NM_001144629.3
NP_001138103.2,NM_001144631.2
NP_732884.2,NM_170079.4
NP_788724.1,NM_176547.3
NP_001138102.1,NM_001144630.2
NP_651165.1,NM_142908.3
NP_651166.1,NM_142909.4
NP_524463.2,NM_079739.4
NP_651167.3,NM_142910.3
NP_652652.3,NM_144395.5
NP_001262877.1,NM_001275948.1
NP_651168.1,NM_142911.4
NP_732888.1,NM_170081.2
NP_001262878.1,NM_001275949.1
NP_651170.1,NM_142913.2
NP_651171.1,NM_142914.3
NP_001097887.1,NM_001104417.2
NP_001262879.1,NM_001275950.1
NP_732890.1,NM_170083.3
NP_651172.1,NM_142915.3
NP_732891.1,NM_170084.3
NP_001262880.1,NM_001275951.1
NP_001097888.1,NM_001104418.2
NP_651173.2,NM_142916.3
NP_651174.2,NM_142917.4
NP_001163702.1,NM_001170231.1
NP_476650.1,NM_057302.3
NP_651175.4,NM_142918.4
NP_732897.1,NM_170087.2
NP_996270.1,NM_206547.2
NP_732896.1,NM_170086.2
NP_651176.1,NM_142919.2
NP_732899.1,NM_170088.2
NP_651177.1,NM_142920.3
NP_732900.1,NM_170089.2
NP_001262881.1,NM_001275952.1
NP_651178.1,NM_142921.4
NP_524464.1,NM_079740.4
NP_001262882.1,NM_001275953.1
NP_651179.1,NM_142922.3
NP_651180.3,NM_142923.3
NP_732901.1,NM_170090.2
NP_651181.1,NM_142924.3
NP_732903.2,NM_170091.2
NP_651182.2,NM_142925.2
NP_651183.3,NM_142926.4
NP_732905.2,NM_170093.3
NP_732904.2,NM_170092.3
NP_001262883.1,NM_001275954.1
NP_651184.1,NM_142927.3
NP_651185.1,NM_142928.3
NP_001163704.1,NM_001170233.1
NP_524465.1,NM_079741.3
NP_001262884.1,NM_001275955.1
NP_651186.1,NM_142929.4
NP_651187.2,NM_142930.3
NP_001262885.1,NM_001275956.1
NP_001247266.1,NM_001260337.1
NP_001247267.1,NM_001260338.2
NP_477144.1,NM_057796.4
NP_001014646.1,NM_001014646.2
NP_001262886.1,NM_001275957.1
NP_788725.1,NM_176548.4
NP_001262887.1,NM_001275958.1
NP_996272.1,NM_206549.4
NP_001287488.1,NM_001300559.2
NP_001247269.1,NM_001260340.3
NP_001097889.2,NM_001104419.6
NP_001303544.1,NM_001316615.1
NP_001287489.1,NM_001300560.1
NP_651188.1,NM_142931.4
NP_001097890.1,NM_001104420.3
NP_524466.1,NM_079742.4
NP_524467.1,NM_079743.4
NP_001369030.1,NM_001382023.1
NP_651190.1,NM_142933.2
NP_788726.2,NM_176549.3
NP_732911.2,NM_170094.4
NP_001247271.1,NM_001260342.2
NP_001097893.1,NM_001104423.2
NP_001262888.1,NM_001275959.1
NP_001262889.1,NM_001275960.1
NP_001097892.1,NM_001104422.3
NP_732912.2,NM_170095.3
NP_651191.1,NM_142934.4
NP_651192.1,NM_142935.2
NP_001262890.1,NM_001275961.1
NP_001287491.1,NM_001300562.1
NP_732914.2,NM_170096.4
NP_001287492.1,NM_001300563.1
NP_001287490.1,NM_001300561.1
NP_001036749.2,NM_001043284.2
NP_732915.1,NM_170097.3
NP_001287493.1,NM_001300564.1
NP_524469.2,NM_079745.4
NP_651194.1,NM_142937.4
NP_001262891.1,NM_001275962.1
NP_651195.1,NM_142938.2
NP_651196.1,NM_142939.2
NP_996274.1,NM_206551.3
NP_524470.4,NM_079746.6
NP_996273.2,NM_206550.2
NP_732922.1,NM_170101.3
NP_788727.1,NM_176550.2
NP_651197.1,NM_142940.3
NP_001247272.1,NM_001260343.1
NP_524471.2,NM_079747.3
NP_732925.1,NM_170103.2
NP_651198.1,NM_142941.3
NP_001247273.1,NM_001260344.2
NP_001247274.1,NM_001260345.2
NP_001262892.1,NM_001275963.1
NP_996276.1,NM_206553.4
NP_651199.2,NM_142942.6
NP_001247275.1,NM_001260346.1
NP_996275.2,NM_206552.4
NP_001097894.1,NM_001104424.3
NP_001262893.1,NM_001275964.1
NP_001097895.1,NM_001104425.2
NP_651200.1,NM_142943.2
NP_651201.1,NM_142944.4
NP_001163705.1,NM_001170234.2
NP_732929.1,NM_170106.4
NP_001097898.1,NM_001104428.1
NP_651202.1,NM_142945.3
NP_001262894.1,NM_001275965.1
NP_001097896.1,NM_001104426.1
NP_001097897.1,NM_001104427.1
NP_524472.1,NM_079748.4
NP_001247277.1,NM_001260348.2
NP_001247276.1,NM_001260347.1
NP_788728.1,NM_176551.3
NP_001163706.1,NM_001170235.2
NP_732931.1,NM_170107.4
NP_001163707.1,NM_001170236.3
NP_732935.2,NM_170110.4
NP_524473.2,NM_079749.6
NP_732933.1,NM_170108.4
NP_001163709.2,NM_001170238.2
NP_732934.2,NM_170109.2
NP_651204.1,NM_142947.4
NP_001262895.1,NM_001275966.1
NP_732936.1,NM_170111.3
NP_732939.2,NM_170114.3
NP_651205.2,NM_142948.4
NP_001287494.1,NM_001300565.1
NP_732941.2,NM_170115.3
NP_001262896.1,NM_001275967.2
NP_001303437.1,NM_001316508.1
NP_001303438.1,NM_001316509.1
NP_651206.3,NM_142949.4
NP_732945.1,NM_170119.2
NP_732942.1,NM_170116.2
NP_732943.1,NM_170117.2
NP_001262898.1,NM_001275969.1
NP_001262897.1,NM_001275968.1
NP_732944.2,NM_170118.2
NP_651207.1,NM_142950.2
NP_001262899.1,NM_001275970.1
NP_651209.1,NM_142952.3
NP_651208.1,NM_142951.3
NP_732949.1,NM_170121.2
NP_732948.1,NM_170120.2
NP_001287495.1,NM_001300566.1
NP_651210.3,NM_142953.2
NP_524474.1,NM_079750.4
NP_651211.2,NM_142954.4
NP_788729.1,NM_176552.3
NP_001189275.1,NM_001202346.2
NP_001189274.1,NM_001202345.2
NP_001163710.1,NM_001170239.3
NP_001189276.1,NM_001202347.2
NP_001303545.1,NM_001316616.1
NP_524475.1,NM_079751.5
NP_651212.1,NM_142955.3
NP_001287496.1,NM_001300567.2
NP_651213.1,NM_142956.3
NP_651214.2,NM_142957.3
NP_001287497.1,NM_001300568.1
NP_651216.2,NM_142959.4
NP_788730.2,NM_176553.2
NP_001189278.1,NM_001202349.1
NP_651215.1,NM_142958.3
NP_651217.2,NM_142960.4
NP_477415.1,NM_058067.3
NP_651218.1,NM_142961.5
NP_651219.1,NM_142962.3
NP_651220.3,NM_142963.3
NP_732958.1,NM_170125.3
NP_996277.1,NM_206554.2
NP_732959.1,NM_170126.5
NP_477163.1,NM_057815.5
NP_001163711.1,NM_001170240.2
NP_651221.1,NM_142964.3
NP_996279.1,NM_206556.2
NP_996278.1,NM_206555.2
NP_001027206.1,NM_001032035.2
NP_001027208.1,NM_001032037.2
NP_001027204.2,NM_001032033.2
NP_001027207.1,NM_001032036.2
NP_651223.2,NM_142966.3
NP_524476.1,NM_079752.3
NP_001334699.1,NM_001347815.1
NP_001334698.1,NM_001347814.1
NP_477430.1,NM_058082.3
NP_651224.1,NM_142967.4
NP_001287498.1,NM_001300569.1
NP_001036750.1,NM_001043285.3
NP_651225.1,NM_142968.3
NP_001262900.1,NM_001275971.2
NP_651226.1,NM_142969.4
NP_001262901.1,NM_001275972.1
NP_788731.1,NM_176554.2
NP_651227.2,NM_142970.3
NP_001287499.1,NM_001300570.1
NP_651228.1,NM_142971.3
NP_651229.2,NM_142972.5
NP_732966.1,NM_170130.3
NP_788732.1,NM_176555.2
NP_732965.1,NM_170129.3
NP_732964.1,NM_170128.2
NP_732968.1,NM_170132.3
NP_732967.1,NM_170131.3
NP_651231.1,NM_142974.3
NP_732971.2,NM_170135.2
NP_732970.1,NM_170134.2
NP_524477.3,NM_079753.4
NP_732969.1,NM_170133.2
NP_651232.1,NM_142975.3
NP_001262902.1,NM_001275973.1
NP_651233.1,NM_142976.5
NP_001247279.1,NM_001260350.2
NP_651234.1,NM_142977.5
NP_524898.1,NM_080159.3
NP_001247280.1,NM_001260351.1
NP_788733.1,NM_176556.2
NP_001262904.1,NM_001275975.1
NP_788734.1,NM_176557.2
NP_001262903.1,NM_001275974.1
NP_001287500.1,NM_001300571.1
NP_651237.1,NM_142980.4
NP_524478.4,NM_079754.4
NP_001014650.2,NM_001014650.3
NP_001262906.1,NM_001275977.2
NP_732976.1,NM_170138.3
NP_001262905.1,NM_001275976.1
NP_001287501.1,NM_001300572.1
NP_001014647.2,NM_001014647.3
NP_001014648.2,NM_001014648.3
NP_001014649.2,NM_001014649.3
NP_001262907.1,NM_001275978.2
NP_651238.2,NM_142981.3
NP_524479.1,NM_079755.2
NP_001262908.1,NM_001275979.1
NP_651239.1,NM_142982.3
NP_651240.1,NM_142983.3
NP_001097899.2,NM_001104429.2
NP_001247281.1,NM_001260352.2
NP_001138105.1,NM_001144633.3
NP_001247282.1,NM_001260353.2
NP_001247283.1,NM_001260354.2
NP_651241.1,NM_142984.2
NP_651242.1,NM_142985.4
NP_001247284.1,NM_001260355.2
NP_001262909.1,NM_001275980.1
NP_001036751.1,NM_001043286.2
NP_524480.2,NM_079756.3
NP_651243.1,NM_142986.4
NP_732982.1,NM_170139.3
NP_651245.1,NM_142988.4
NP_651246.2,NM_142989.4
NP_001262910.1,NM_001275981.1
NP_001287502.1,NM_001300573.1
NP_651247.1,NM_142990.2
NP_001287503.1,NM_001300574.1
NP_536772.1,NM_080511.3
NP_001262911.1,NM_001275982.1
NP_001262914.1,NM_001275985.1
NP_651248.2,NM_142991.3
NP_001138107.1,NM_001144635.2
NP_001262912.1,NM_001275983.1
NP_001262913.1,NM_001275984.1
NP_732983.1,NM_170140.2
NP_001138106.1,NM_001144634.2
NP_651249.2,NM_142992.3
NP_001401047.1,NM_001414141.1
NP_001262915.1,NM_001275986.1
NP_732985.2,NM_170141.3
NP_651250.2,NM_142993.3
NP_651251.3,NM_142994.4
NP_651252.1,NM_142995.3
NP_996280.2,NM_206557.3
NP_996281.1,NM_206558.2
NP_651254.1,NM_142997.1
NP_001097900.2,NM_001104430.2
NP_001189279.1,NM_001202350.1
NP_001097901.2,NM_001104431.2
NP_996282.1,NM_206559.2
NP_651256.2,NM_142999.2
NP_651257.1,NM_143000.3
NP_651258.1,NM_143001.3
NP_001097904.1,NM_001104434.1
NP_651259.1,NM_143002.2
NP_732995.1,NM_170143.2
NP_732997.3,NM_170144.3
NP_651260.3,NM_143003.2
NP_001369031.1,NM_001382182.1
NP_651261.2,NM_143004.4
NP_001287504.1,NM_001300575.1
NP_651262.1,NM_143005.3
NP_001262917.1,NM_001275988.2
NP_524481.2,NM_079757.4
NP_001262916.1,NM_001275987.1
NP_733000.1,NM_170145.2
NP_524482.1,NM_079758.3
NP_733001.1,NM_170146.2
NP_524483.1,NM_079759.4
NP_733002.1,NM_170147.3
NP_651263.1,NM_143006.2
NP_001262918.1,NM_001275989.1
NP_001262919.1,NM_001275990.1
NP_524484.1,NM_079760.3
NP_651264.2,NM_143007.3
NP_651265.1,NM_143008.3
NP_651266.1,NM_143009.2
NP_651267.1,NM_143010.2
NP_001262920.1,NM_001275991.1
NP_733008.2,NM_170148.3
NP_651268.1,NM_143011.3
NP_651269.1,NM_143012.3
NP_001247286.1,NM_001260357.1
NP_733010.1,NM_170652.2
NP_733011.2,NM_170653.3
NP_001247287.1,NM_001260358.2
NP_001262921.1,NM_001275992.1
NP_733013.1,NM_170151.2
NP_733014.1,NM_170152.2
NP_001036752.1,NM_001043287.2
NP_001036753.1,NM_001043288.2
NP_733012.1,NM_170150.2
NP_651271.1,NM_143014.3
NP_001287505.1,NM_001300576.1
NP_651272.1,NM_143015.4
NP_001247289.1,NM_001260360.1
NP_001036754.1,NM_001043289.2
NP_001247288.1,NM_001260359.1
NP_001036755.2,NM_001043290.2
NP_651273.2,NM_143016.2
NP_524485.1,NM_079761.4
NP_651274.1,NM_143017.3
NP_733020.1,NM_170157.2
NP_001287506.1,NM_001300577.1
NP_733018.1,NM_170155.2
NP_001247291.1,NM_001260362.2
NP_001287507.1,NM_001300578.1
NP_001262922.1,NM_001275993.2
NP_733022.2,NM_170158.3
NP_001287508.1,NM_001300579.1
NP_651275.1,NM_143018.4
NP_001262923.1,NM_001275994.2
NP_996287.1,NM_206564.2
NP_788735.1,NM_176558.3
NP_001247292.1,NM_001260363.1
NP_733024.1,NM_170160.2
NP_733025.1,NM_170161.3
NP_651276.2,NM_143019.3
NP_996288.1,NM_206565.2
NP_733027.2,NM_170162.3
NP_651278.2,NM_143021.3
NP_001163712.1,NM_001170241.3
NP_001262924.1,NM_001275995.1
NP_001014661.2,NM_001014661.4
NP_733029.1,NM_170164.4
NP_996289.1,NM_206566.4
NP_001262927.1,NM_001275998.1
NP_001262928.1,NM_001275999.1
NP_001262926.1,NM_001275997.1
NP_001014662.1,NM_001014662.3
NP_001014654.1,NM_001014654.3
NP_001014655.1,NM_001014655.3
NP_524486.2,NM_079762.4
NP_001262925.1,NM_001275996.1
NP_001014657.1,NM_001014657.3
NP_001014656.1,NM_001014656.3
NP_001014659.1,NM_001014659.3
NP_001014658.1,NM_001014658.3
NP_001014660.1,NM_001014660.3
NP_001014653.1,NM_001014653.3
NP_001014664.1,NM_001014664.3
NP_001014663.1,NM_001014663.3
NP_001014651.1,NM_001014651.3
NP_001014652.1,NM_001014652.3
NP_001334700.1,NM_001347795.1
NP_651279.1,NM_143022.3
NP_001287509.1,NM_001300580.1
NP_733032.2,NM_170166.3
NP_651280.1,NM_143023.2
NP_651281.1,NM_143024.3
NP_733035.1,NM_170168.2
NP_476879.1,NM_057531.4
NP_001287510.1,NM_001300581.1
NP_524487.2,NM_079763.4
NP_524488.3,NM_079764.3
NP_524489.2,NM_079765.3
NP_001287511.1,NM_001300582.1
NP_001287512.1,NM_001300583.1
NP_652252.1,NM_143995.4
NP_651282.2,NM_143025.3
NP_001189281.1,NM_001202352.1
NP_651283.1,NM_143026.2
NP_001287513.1,NM_001300584.1
NP_651284.1,NM_143027.4
NP_651286.3,NM_143029.3
NP_996290.1,NM_206567.2
NP_651285.1,NM_143028.3
NP_001287514.1,NM_001300585.1
NP_651287.4,NM_143030.3
NP_001262929.1,NM_001276000.1
NP_651288.1,NM_143031.2
NP_001262930.1,NM_001276001.1
NP_651290.1,NM_143033.3
NP_651289.1,NM_143032.2
NP_001036756.2,NM_001043291.2
NP_651291.1,NM_143034.4
NP_001303447.1,NM_001316518.1
NP_001303446.1,NM_001316517.1
NP_733041.2,NM_170169.3
NP_001262931.1,NM_001276002.1
NP_651293.1,NM_143036.2
NP_733043.1,NM_170170.3
NP_733044.1,NM_170171.2
NP_001247294.1,NM_001260365.1
NP_001303546.1,NM_001316617.1
NP_733046.2,NM_170172.2
NP_001247295.1,NM_001260366.2
NP_651295.1,NM_143038.2
NP_001027209.1,NM_001032038.1
NP_001189282.1,NM_001202353.2
NP_524490.2,NM_079766.4
NP_651296.1,NM_143039.3
NP_001163713.1,NM_001170242.2
NP_001262932.1,NM_001276003.1
NP_996291.2,NM_206568.4
NP_651297.2,NM_143040.5
NP_001247296.1,NM_001260367.1
NP_733048.1,NM_170173.3
NP_651298.1,NM_143041.3
NP_001247297.1,NM_001260368.1
NP_733051.2,NM_170175.4
NP_001247298.1,NM_001260369.2
NP_001247299.1,NM_001260370.1
NP_651300.1,NM_143043.3
NP_651301.1,NM_143044.3
NP_651302.1,NM_143045.3
NP_001262933.1,NM_001276004.1
NP_524491.1,NM_079767.2
NP_733055.1,NM_170176.2
NP_001262934.1,NM_001276005.1
NP_651303.2,NM_143046.3
NP_733056.3,NM_170177.3
NP_651304.3,NM_143047.3
NP_001262935.1,NM_001276006.1
NP_996292.2,NM_206569.2
NP_651305.1,NM_143048.2
NP_001189286.1,NM_001202357.1
NP_733057.1,NM_170178.3
NP_001189283.1,NM_001202354.2
NP_733058.1,NM_170179.2
NP_733059.1,NM_170180.2
NP_651307.2,NM_143050.2
NP_001262938.1,NM_001276009.1
NP_001262936.1,NM_001276007.1
NP_001262937.1,NM_001276008.1
NP_652253.1,NM_143996.3
NP_651309.2,NM_143052.2
NP_733060.1,NM_170181.3
NP_733061.1,NM_170182.3
NP_001163715.2,NM_001170244.4
NP_651311.2,NM_143054.4
NP_001262939.1,NM_001276010.1
NP_001262940.1,NM_001276011.1
NP_651312.2,NM_143055.4
NP_651313.1,NM_143056.3
NP_001262941.1,NM_001276012.1
NP_651314.1,NM_143057.3
NP_477271.1,NM_057923.4
NP_524492.2,NM_079768.4
NP_001163717.1,NM_001170246.1
NP_001163716.1,NM_001170245.1
NP_733063.1,NM_170184.2
NP_651315.2,NM_143058.1
NP_733064.2,NM_170185.1
NP_001262942.1,NM_001276013.2
NP_001356924.1,NM_001369970.1
NP_651316.1,NM_143059.1
NP_001247300.1,NM_001260371.1
NP_651318.3,NM_143061.3
NP_651319.2,NM_143062.3
NP_651320.1,NM_143063.2
NP_524493.1,NM_079769.3
NP_651321.1,NM_143064.2
NP_651322.1,NM_143065.3
NP_001262943.1,NM_001276014.1
NP_733067.1,NM_170188.2
NP_001097905.1,NM_001104435.2
NP_733068.2,NM_170189.3
NP_651323.3,NM_143066.3
NP_733069.1,NM_170190.2
NP_001356900.1,NM_001370014.1
NP_001138108.1,NM_001144636.2
NP_001097906.1,NM_001104436.3
NP_733071.1,NM_170192.2
NP_001262944.1,NM_001276015.1
NP_651326.1,NM_143069.2
NP_001262945.1,NM_001276016.1
NP_733072.1,NM_170193.2
NP_651327.1,NM_143070.3
NP_001097907.1,NM_001104437.2
NP_001262946.1,NM_001276017.1
NP_733073.1,NM_170194.3
NP_733074.1,NM_170195.3
NP_001262947.1,NM_001276018.1
NP_651329.4,NM_143072.4
NP_001097909.2,NM_001104439.3
NP_651330.1,NM_143073.4
NP_733076.2,NM_170197.3
NP_651331.1,NM_143074.4
NP_524494.1,NM_079770.3
NP_733077.3,NM_170198.3
NP_001356925.1,NM_001369964.1
NP_733078.1,NM_170199.2
NP_651333.1,NM_143076.5
NP_001097910.1,NM_001104440.5
NP_001189290.1,NM_001202361.3
NP_001163718.3,NM_001170247.4
NP_001189292.1,NM_001202363.3
NP_001189291.1,NM_001202362.3
NP_001097911.1,NM_001104441.2
NP_651335.2,NM_143078.3
NP_001287516.1,NM_001300587.1
NP_524495.1,NM_079771.2
NP_524496.1,NM_079772.2
NP_001027210.1,NM_001032039.3
NP_788738.1,NM_176561.3
NP_001287518.1,NM_001300589.1
NP_001287517.1,NM_001300588.1
NP_001163719.1,NM_001170248.2
NP_001356926.1,NM_001370006.1
NP_788737.1,NM_176560.4
NP_788736.2,NM_176559.3
NP_001287519.1,NM_001300590.1
NP_001034068.2,NM_001038979.2
NP_001097912.1,NM_001104442.2
NP_733081.1,NM_170202.3
NP_001287520.1,NM_001300591.1
NP_733082.1,NM_170203.3
NP_733083.1,NM_170204.2
NP_733085.1,NM_170206.3
NP_001097913.1,NM_001104443.2
NP_733084.1,NM_170205.3
NP_651340.1,NM_143083.3
NP_001163720.1,NM_001170249.1
NP_651341.2,NM_143084.2
NP_001163721.1,NM_001170250.1
NP_651342.3,NM_143085.3
NP_001163724.1,NM_001170253.2
NP_001163725.1,NM_001170254.2
NP_001163722.1,NM_001170251.2
NP_001163723.1,NM_001170252.2
NP_001287521.1,NM_001300592.1
NP_001163726.1,NM_001170255.1
NP_651343.1,NM_143086.3
NP_001036757.1,NM_001043292.2
NP_001262949.1,NM_001276020.1
NP_651346.1,NM_143089.4
NP_001262948.1,NM_001276019.2
NP_651348.1,NM_143091.2
NP_651349.1,NM_143092.3
NP_651350.2,NM_143093.3
NP_001287523.1,NM_001300594.1
NP_001287522.1,NM_001300593.1
NP_651351.1,NM_143094.3
NP_733086.2,NM_170207.3
NP_001097914.1,NM_001104444.3
NP_651353.1,NM_143096.4
NP_001163727.1,NM_001170256.1
NP_001287524.1,NM_001300595.1
NP_651355.3,NM_143098.4
NP_651356.1,NM_143099.4
NP_651357.1,NM_143100.2
NP_001287525.1,NM_001300596.1
NP_524497.1,NM_079773.2
NP_651358.4,NM_143101.3
NP_476800.1,NM_057452.4
NP_651359.1,NM_143102.2
NP_001247301.1,NM_001260372.1
NP_001262950.1,NM_001276021.1
NP_651360.1,NM_143103.4
NP_001247302.1,NM_001260373.2
NP_651361.2,NM_143104.3
NP_651362.1,NM_143105.3
NP_001303417.1,NM_001316488.1
NP_651363.1,NM_143106.4
NP_651364.1,NM_143107.4
NP_524841.1,NM_080102.5
NP_651365.1,NM_143108.2
NP_001334701.2,NM_001347743.1
NP_001027211.4,NM_001032040.3
NP_651367.1,NM_143110.3
NP_001287526.1,NM_001300597.1
NP_651369.1,NM_143112.3
NP_651370.2,NM_143113.4
NP_651371.1,NM_143114.3
NP_733089.1,NM_170210.2
NP_651372.1,NM_143115.3
NP_651373.2,NM_143116.3
NP_733090.1,NM_170211.2
NP_651374.2,NM_143117.3
NP_651375.1,NM_143118.2
NP_733091.1,NM_170212.3
NP_733092.2,NM_170213.3
NP_001262951.1,NM_001276022.1
NP_733093.2,NM_170214.3
NP_733094.1,NM_170215.2
NP_651378.1,NM_143121.3
NP_733095.2,NM_170216.3
NP_733096.1,NM_170217.4
NP_651380.2,NM_143123.5
NP_733097.1,NM_170218.3
NP_733098.1,NM_170219.2
NP_733099.1,NM_170220.2
NP_733100.1,NM_170221.2
NP_001262952.1,NM_001276023.1
NP_651382.2,NM_143125.3
NP_651383.1,NM_143126.2
NP_651384.2,NM_143127.3
NP_651385.3,NM_143128.4
NP_001097918.1,NM_001104448.2
NP_651387.1,NM_143130.4
NP_001163728.1,NM_001170257.2
NP_651388.1,NM_143131.4
NP_651389.3,NM_143132.4
NP_651390.2,NM_143133.3
NP_651391.1,NM_143134.3
NP_733102.1,NM_170654.2
NP_001262954.1,NM_001276025.1
NP_996294.2,NM_206571.2
NP_733104.1,NM_170656.2
NP_733103.1,NM_170655.2
NP_524885.1,NM_080146.3
NP_996293.1,NM_206570.2
NP_001262953.1,NM_001276024.1
NP_001262955.1,NM_001276026.1
NP_651392.2,NM_143135.2
NP_651393.1,NM_143136.4
NP_733105.1,NM_170226.3
NP_733106.2,NM_170227.3
NP_651395.1,NM_143138.3
NP_651396.1,NM_143139.2
NP_651397.1,NM_143140.1
NP_733107.1,NM_170228.3
NP_001287527.1,NM_001300598.1
NP_651398.1,NM_143141.4
NP_001287528.1,NM_001300599.1
NP_001287529.1,NM_001300600.1
NP_651399.2,NM_143142.4
NP_001163729.1,NM_001170258.3
NP_525010.1,NM_080271.4
NP_001262957.1,NM_001276028.1
NP_001262956.1,NM_001276027.1
NP_651400.1,NM_143143.3
NP_001262958.1,NM_001276029.1
NP_996295.1,NM_206572.2
NP_651401.1,NM_143144.4
NP_651402.1,NM_143145.1
NP_001262960.1,NM_001276031.1
NP_001247303.1,NM_001260374.2
NP_001262959.1,NM_001276030.1
NP_001247304.1,NM_001260375.2
NP_733108.2,NM_170229.3
NP_001262961.1,NM_001276032.1
NP_524577.1,NM_079838.4
NP_651403.1,NM_143146.2
NP_001287531.1,NM_001300602.1
NP_001287530.1,NM_001300601.1
NP_651404.1,NM_143147.3
NP_733109.1,NM_170230.2
NP_733110.2,NM_170231.3
NP_001163731.1,NM_001170260.2
NP_651407.3,NM_143150.4
NP_651405.1,NM_143148.2
NP_001303432.1,NM_001316503.1
NP_651406.1,NM_143149.2
NP_733111.1,NM_170232.2
NP_001247305.1,NM_001260376.1
NP_001163732.1,NM_001170261.2
NP_001014665.1,NM_001014665.2
NP_001014666.1,NM_001014666.3
NP_001014667.1,NM_001014667.3
NP_651408.1,NM_143151.3
NP_001334702.1,NM_001347754.1
NP_001097920.1,NM_001104450.2
NP_651409.1,NM_143152.4
NP_733112.1,NM_170233.2
NP_733114.1,NM_170235.3
NP_733113.1,NM_170234.1
NP_001097921.1,NM_001104451.2
NP_001262962.1,NM_001276033.1
NP_651410.1,NM_143153.3
NP_001262963.1,NM_001276034.1
NP_651411.1,NM_143154.4
NP_733115.1,NM_170236.2
NP_651413.1,NM_143156.4
NP_001262965.1,NM_001276036.1
NP_001262964.1,NM_001276035.1
NP_651414.1,NM_143157.3
NP_651415.1,NM_143158.2
NP_001097922.1,NM_001104452.2
NP_001097923.1,NM_001104453.2
NP_651416.1,NM_143159.3
NP_001097924.1,NM_001104454.2
NP_001262968.1,NM_001276039.1
NP_651417.1,NM_143160.2
NP_001262967.1,NM_001276038.1
NP_001262966.1,NM_001276037.1
NP_001262969.1,NM_001276040.1
NP_733116.1,NM_170237.2
NP_651418.1,NM_143161.2
NP_733117.1,NM_170238.2
NP_001097927.1,NM_001104457.2
NP_001097926.1,NM_001104456.2
NP_001097929.1,NM_001104459.2
NP_001097928.1,NM_001104458.2
NP_733118.3,NM_170239.4
NP_001097930.1,NM_001104460.2
NP_001262971.1,NM_001276042.1
NP_001262970.1,NM_001276041.1
NP_788742.1,NM_176565.2
NP_001262973.1,NM_001276044.1
NP_001262974.1,NM_001276045.1
NP_996296.2,NM_206573.2
NP_001262972.1,NM_001276043.1
NP_001097934.2,NM_001104464.2
NP_001097932.1,NM_001104462.1
NP_733119.2,NM_170240.3
NP_001097931.3,NM_001104461.3
NP_001097933.2,NM_001104463.3
NP_001163734.1,NM_001170263.2
NP_651425.2,NM_143168.4
NP_001287532.1,NM_001300603.1
NP_651424.3,NM_143167.2
NP_001262975.1,NM_001276046.2
NP_001163735.1,NM_001170264.2
NP_651426.1,NM_143169.3
NP_651427.2,NM_143170.2
NP_651428.2,NM_143171.2
NP_001287533.1,NM_001300604.1
NP_651429.1,NM_143172.2
NP_733121.1,NM_170242.2
NP_733122.1,NM_170243.1
NP_001036758.1,NM_001043293.3
NP_651431.1,NM_143174.2
NP_001163736.1,NM_001170265.1
NP_001163737.1,NM_001170266.1
NP_476988.1,NM_057640.3
NP_651432.1,NM_143175.2
NP_651433.1,NM_143176.2
NP_524498.2,NM_079774.4
NP_001163738.1,NM_001170267.2
NP_524499.2,NM_079775.5
NP_524906.1,NM_080167.4
NP_651434.3,NM_143177.4
NP_652254.3,NM_143997.3
NP_651435.1,NM_143178.2
NP_001287534.1,NM_001300605.1
NP_001356889.1,NM_001370037.1
NP_001163739.2,NM_001170268.2
NP_001262977.1,NM_001276048.2
NP_524500.1,NM_079776.3
NP_001262976.1,NM_001276047.2
NP_001163740.1,NM_001170269.2
NP_651437.1,NM_143180.2
NP_001287535.1,NM_001300606.1
NP_001163741.1,NM_001170270.2
NP_733123.1,NM_170244.2
NP_733124.1,NM_170245.2
NP_733126.1,NM_170247.2
NP_001287537.1,NM_001300608.1
NP_001287536.1,NM_001300607.1
NP_733125.1,NM_170246.2
NP_001287538.1,NM_001300609.1
NP_651438.1,NM_143181.3
NP_651439.2,NM_143182.4
NP_651440.1,NM_143183.2
NP_001247306.1,NM_001260377.1
NP_651441.1,NM_143184.2
NP_733127.1,NM_170248.3
NP_001247307.1,NM_001260378.1
NP_733128.1,NM_170249.2
NP_651447.2,NM_143190.4
NP_651446.2,NM_143189.4
NP_733129.1,NM_170250.3
NP_001138111.1,NM_001144639.3
NP_001138112.1,NM_001144640.2
NP_651448.2,NM_143191.6
NP_001368957.1,NM_001382065.1
NP_996297.3,NM_206574.4
NP_651451.1,NM_143194.2
NP_542440.1,NM_080709.3
NP_651453.3,NM_143196.3
NP_001014668.1,NM_001014668.2
NP_001262978.1,NM_001276049.1
NP_001262979.1,NM_001276050.1
NP_733131.2,NM_170252.3
NP_733132.2,NM_170253.2
NP_001247308.1,NM_001260379.2
NP_524503.2,NM_079779.3
NP_524504.2,NM_079780.3
NP_524505.2,NM_079781.3
NP_524506.1,NM_079782.3
NP_001262980.1,NM_001276051.2
NP_524507.1,NM_079783.4
NP_524508.1,NM_079784.3
NP_524509.2,NM_079785.4
NP_524510.1,NM_079786.3
NP_524511.1,NM_079787.3
NP_524512.2,NM_079788.3
NP_536753.1,NM_080505.3
NP_524513.1,NM_079789.3
NP_001247309.1,NM_001260380.2
